"ensembl" "symbol" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"1" "ENSG00000154451.14" "GBP5" 416.01287489909 4.32902047207754 0.396270315683668 10.9244127070403 8.81085271147929e-28 1.01483401530818e-23
"2" "ENSG00000125347.14" "IRF1" 654.619426353338 3.06419771380043 0.283463677503953 10.8098425194448 3.09200411840592e-27 1.78068517178997e-23
"3" "ENSG00000162654.9" "GBP4" 266.471218874003 4.17377665864208 0.390053692201039 10.7005182673437 1.01210538340622e-26 3.8858099353576e-23
"4" "ENSG00000140105.18" "WARS" 3503.26918677184 2.9367151163567 0.301914293049948 9.72698273635841 2.31353543040601e-22 6.66182527185411e-19
"5" "ENSG00000169245.6" "CXCL10" 9463.9091349783 6.64620989567144 0.72421217946148 9.17715841317875 4.42616883112338e-20 1.01961225193758e-16
"6" "ENSG00000117228.10" "GBP1" 1908.49149326955 4.25104574554096 0.466570864271057 9.11125419754307 8.14350329850836e-20 1.56328118320366e-16
"7" "ENSG00000168062.10" "BATF2" 89.0506212580318 3.40307605846142 0.432641782644211 7.86580537289436 3.66730333411333e-15 6.03428568604533e-12
"8" "ENSG00000168394.11" "TAP1" 1173.84950576191 2.6530580635692 0.374087107356692 7.09208633870267 1.3210504723178e-12 1.90198241751955e-09
"9" "ENSG00000140511.11" "HAPLN3" 83.6975542186755 4.07189021849195 0.587418135411807 6.93184287822059 4.15393190419955e-12 5.31610974139672e-09
"10" "ENSG00000117226.12" "GBP3" 177.405412896503 2.29940000954502 0.334668015795561 6.87068946244823 6.38923434929288e-12 6.87737256533554e-09
"11" "ENSG00000135148.12" "TRAFD1" 244.653846700398 1.7118469444324 0.249295052352921 6.86675057637718 6.56807590021626e-12 6.87737256533554e-09
"12" "ENSG00000162645.13" "GBP2" 824.020715597038 2.14349785849073 0.325102064229457 6.59330743891508 4.30134548059226e-11 4.12857477045514e-08
"13" "ENSG00000169248.12" "CXCL11" 63.7930958787901 4.67613364082695 0.73441459700572 6.36715781507068 1.92563019801127e-10 1.70610835543799e-07
"14" "ENSG00000100342.20" "APOL1" 118.270001917766 2.07921878085754 0.330243667681528 6.29601407789186 3.05396648702785e-10 2.51254185697049e-07
"15" "ENSG00000149131.15" "SERPING1" 289.466213782493 2.92018584658992 0.475622026464524 6.1397195338003 8.26673053343221e-10 6.19524562722334e-07
"16" "ENSG00000225492.6" "GBP1P1" 41.4164559151997 4.1024054097948 0.668871142383584 6.13332695917408 8.60600191314234e-10 6.19524562722334e-07
"17" "ENSG00000221963.6" "APOL6" 402.582773857348 2.10471019154947 0.350290812634752 6.00846529693043 1.87287692611375e-09 1.26892920205754e-06
"18" "ENSG00000152766.6" "ANKRD22" 333.423357449764 2.34787013633452 0.395187788864523 5.94115051753134 2.83028588559519e-09 1.81106849057141e-06
"19" "ENSG00000131203.13" "IDO1" 2016.86017909911 2.65527221189671 0.447716068944079 5.93070563261012 3.01635560169023e-09 1.82854651685621e-06
"20" "ENSG00000133321.11" "RARRES3" 134.218084130743 3.92486493907914 0.671877780631794 5.84163526793286 5.16908814534828e-09 2.97687786290607e-06
"21" "ENSG00000140853.15" "NLRC5" 131.762052034851 1.48134787650241 0.25509233217974 5.80710468183985 6.35623988230253e-09 3.48624623639812e-06
"22" "ENSG00000128335.14" "APOL2" 267.524282387748 1.86331793234826 0.322053645586733 5.78573774239872 7.21947743207006e-09 3.77972459375377e-06
"23" "ENSG00000163131.11" "CTSS" 1109.45619568889 1.09463763461699 0.190781174356763 5.73766063820327 9.59932173879103e-09 4.80717338206065e-06
"24" "ENSG00000158985.13" "CDC42SE2" 470.873820840447 0.924078657449166 0.163808149086004 5.6412251930397 1.68844356879724e-08 8.10312209391941e-06
"25" "ENSG00000002549.12" "LAP3" 1976.28582538546 1.81226498840685 0.332776036840511 5.44589990797746 5.15441167459576e-08 2.37474054671976e-05
"26" "ENSG00000168899.5" "VAMP5" 357.398190851808 3.37365979999154 0.621551339487974 5.42780553376448 5.70511502392698e-08 2.52736595559965e-05
"27" "ENSG00000010030.14" "ETV7" 94.7515911184072 3.4309421347819 0.648619673325238 5.28960541266456 1.22580519564915e-07 5.22919416425442e-05
"28" "ENSG00000185880.13" "TRIM69" 239.661473142025 1.13945477484838 0.216096116852498 5.27290722038351 1.34279455975729e-07 5.52368133545875e-05
"29" "ENSG00000170581.14" "STAT2" 343.964908401366 1.25255469438992 0.247044539479597 5.07015737740428 3.97486880051334e-07 0.000157870823601078
"30" "ENSG00000137496.17" "IL18BP" 122.206823399382 2.03884690133863 0.407157598778941 5.00751283398148 5.51378761757012e-07 0.000211692685930576
"31" "ENSG00000120217.14" "CD274" 877.506944099713 1.76478446381818 0.353367018173754 4.99419689177221 5.90811006452137e-07 0.000219514876526313
"32" "ENSG00000128284.19" "APOL3" 125.098824521592 2.53842438946975 0.511544252541813 4.96227721620675 6.96714593233794e-07 0.000250773708902089
"33" "ENSG00000164136.17" "IL15" 128.920193363969 1.12494192754014 0.228104469334038 4.93169612513277 8.15186631502621e-07 0.000284524837019612
"34" "ENSG00000116663.11" "FBXO6" 221.641781682762 1.6771173637012 0.34231685859924 4.89931279038949 9.61724357685286e-07 0.000325798269171151
"35" "ENSG00000138755.5" "CXCL9" 137.272254543724 3.721357325032 0.773378072079345 4.81182161659505 1.49560817182937e-06 0.000492183283518019
"36" "ENSG00000013374.16" "NUB1" 131.669491201831 1.19046444301011 0.24832755139142 4.79392816600389 1.63546856392562e-06 0.000523259081091535
"37" "ENSG00000145365.11" "TIFA" 200.97133376359 1.48969805991144 0.312712204386612 4.76379891483126 1.89981834126422e-06 0.000591408314991386
"38" "ENSG00000240065.8" "PSMB9" 673.828536706197 2.0955600644861 0.450030067797783 4.6564890091471 3.21647442293706e-06 0.000974930326404974
"39" "ENSG00000173193.15" "PARP14" 523.396333940882 1.41963432141112 0.311623847142031 4.55560232129501 5.22356801895865e-06 0.00154269375493245
"40" "ENSG00000204261.8" "PSMB8-AS1" 89.040954335479 1.38630092211056 0.305096690854083 4.54380845046131 5.52468649682922e-06 0.00159083347676197
